Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20,Utility_Score,Privacy_Score_k1,Privacy_Score_k3,Privacy_Score_k5,Privacy_Score_k10,Privacy_Score_k20,Privacy_Score_Avg,Pareto_Member,Chord_Distance,Plateau_Member
35,60,700,0.7637796490976311,143.5598969019286,1169760,1169760,0.0172214813295034,0.0397637122144713,0.0607329708658186,0.1015208247845712,0.1754291478593899,0.6754251859960639,0.7181862493071932,0.7082996959241452,0.6659852651098201,0.6244344395802646,0.5487348520952977,0.6531281004033442,True,0.2554990363242149,True
45,61,450,0.7786447857882662,166.36727174738976,1009397,1009397,0.0196533177728881,0.0451685511250776,0.0690778752066828,0.1101390235952751,0.1801144643782377,0.7339447834841017,0.6556126418781913,0.6338116739490243,0.5840419646243147,0.5519792855674972,0.5002717780506216,0.5851434688139298,True,0.1415221023512073,True
45,62,450,0.7794136727369438,166.52168502302024,1008461,1008461,0.0196785002097255,0.0451985748581254,0.0690646440467206,0.1098098984492211,0.1798562363839553,0.7343277260692154,0.6536201392752978,0.6318973455212951,0.5824392649377206,0.551824021127524,0.49947041957102006,0.5838502380865715,True,0.13907211155791036,True
45,75,450,0.8031023242887819,209.6716346910186,800922,800922,0.0211930749810843,0.0453190198296463,0.0617588229565425,0.0994179208462247,0.1726647538711634,0.8365563905852873,0.5830978436003316,0.5791688829426209,0.5739322755524039,0.5482085431859458,0.47217763518275563,0.5513170360928116,True,0.11318099139730743,True
55,105,800,0.847362751023689,234.4833231635373,716173,716173,0.0184983237290431,0.0383971470580432,0.0517347065583315,0.0820863115476288,0.1438381508378562,0.8922768451680673,0.5196507431479087,0.5361698666421086,0.5365526774845568,0.5317872037580677,0.47361352491240555,0.5195548031890095,True,0.07088619165760633,True
55,120,800,0.8524454019809728,235.93913767959157,711754,711754,0.0182970520713617,0.0379499096597981,0.0512129190703529,0.0803915397735734,0.1423160249187219,0.8954972057483057,0.5110270106295944,0.5285314908477869,0.5285314908477869,0.5285314908477869,0.46768642543096334,0.5128615817207838,True,0.058684095695238525,True
55,125,700,0.8616689392610265,282.2951758013435,594876,594876,0.0215960973379326,0.0444058929928253,0.0586660077058076,0.0856682737242719,0.1244561891890074,0.9959300530455889,0.45006412314469785,0.4582125388233696,0.46420683066023777,0.4839021804138211,0.5083651759791563,0.4729501698042565,True,0.017278624873454624,True
55,130,700,0.8618418798426044,282.3511831702978,594758,594758,0.0215919752235362,0.044381076000659,0.0586272063595613,0.0855759821641743,0.1245901694470692,0.9960493410310767,0.44973698115403404,0.4580272102733923,0.46405860558367135,0.483951928302298,0.5075306139272279,0.4726610678481247,True,0.016743930061864573,True
55,135,700,0.8618266726678511,282.38631777549085,594684,594684,0.0216266117803741,0.0444185483382771,0.0586714961223103,0.0855714967949364,0.1245838125794539,0.9961241707880898,0.44934190833715104,0.457769359226097,0.4638294448214449,0.48400597144480895,0.5075855194891363,0.47250644066372766,True,0.016462203608438076,True
55,140,700,0.8618398511767322,282.4442614899708,594562,594562,0.0216260036800199,0.0444242988956576,0.0587037180310884,0.0856294213219142,0.1246615155358061,0.9962475758741327,0.44932061475964563,0.45769587316413113,0.46360972176765863,0.4837086192591791,0.5072919868339476,0.47232536315691237,True,0.016146094732233756,True
55,150,800,0.8654949487724607,284.1735003655169,590944,590944,0.0216636432555369,0.044574443602101,0.0587449910651432,0.0857492418909406,0.1248087805274273,0.9999283790860507,0.440863662496853,0.4485379949116558,0.45537369104525427,0.4751616351398214,0.49879878833286967,0.4637471543852908,True,0.00033521806794323044,True
55,200,800,0.8654919076634429,284.2071659947806,590874,590874,0.0216915958393836,0.0446034179875912,0.0587807214397655,0.0857678625222974,0.1248286436702241,1.0,0.4405246450122907,0.44831955947392754,0.45516864342353386,0.47508195876365594,0.498737767452918,0.46356651482526523,True,0.0,True
35,5,450,0.637018851557683,26.925780172097955,6236797,6236797,0.0486567063189646,0.0840346414994748,0.1077107367772271,0.1497220448252524,0.2161332170984561,0.0001743567775975154,0.6066021775879529,0.6415350079744182,0.6647990325022904,0.6781224991894815,0.6872132616123243,0.6556543957732934,True,0.0,True
35,5,300,0.6370086132692822,26.92573268248758,6236808,6236808,0.0486580635478918,0.0840364173468222,0.1077129518817959,0.149724025495093,0.2161345996221144,0.00017329064522539882,0.6066077788206442,0.6415435974521668,0.6648082933295523,0.6781357017464604,0.687230936580764,0.6556652615859175,True,0.0,True
35,5,200,0.636995212155686,26.92540889415434,6236883,6236883,0.0486571577501133,0.0840362084714431,0.1077140616554775,0.1497244697391309,0.2161368106472415,0.0001660215695469554,0.6066482802303832,0.6415745202343718,0.6648310182553707,0.6781629423817834,0.6872527041939209,0.655693893059166,True,0.0,True
25,5,450,0.6569301884036567,26.951916214246477,6230749,6230749,0.0487151705196277,0.0841706189737381,0.1078653625751896,0.1499171287432698,0.2163478259194841,0.0007605850831434493,0.5623451105181074,0.5969445925576409,0.6203488111394229,0.6336839995330146,0.6429480416470014,0.6112541110790375,False,-1.0,False
25,15,450,0.6873638655914999,43.7272420250744,3840412,3840412,0.048315909855505,0.0893682761120421,0.118180028601098,0.1695292067621911,0.2398310389614447,0.24498029715837494,0.500742335363213,0.4900270293986229,0.492695979795292,0.47622209151520184,0.4964050960740356,0.491218506429273,False,-1.0,False
25,10,450,0.6809553754128597,29.30134787792413,5731157,5731157,0.0470601311393144,0.0817088067906707,0.1042461408752194,0.1450279585779974,0.2116693016785266,0.049555841026892866,0.5302830194452421,0.5635403268144034,0.5892635161954429,0.6038216467620963,0.6063582859687633,0.5786533590371896,False,-1.0,False
25,20,450,0.6933423633133432,60.06878033966474,2795639,2795639,0.0540076884032595,0.0970969427740849,0.1295478421927867,0.1805587202067219,0.2617558990985603,0.3692325236575766,0.4172854332713239,0.41691631386326866,0.4122721520625515,0.4120177782149862,0.4086398953156224,0.4134263145455506,False,-1.0,False
25,30,450,0.7182537974769124,80.79670800227478,2078434,2078434,0.039358478546829,0.075626168548051,0.1102031625733605,0.1578438381974121,0.2436339089910962,0.4730089799849978,0.5439738460806736,0.529243510690654,0.4724199649762421,0.4628579298269919,0.4159117842425977,0.484881407163432,False,-1.0,False
5,5,50,0.7637874721551591,27.04839749351053,6208524,6208524,0.0492144348640675,0.0850234290791176,0.108839878850432,0.1504312458162358,0.2170171203332708,0.0029156883716464064,0.32253866811123383,0.35668717375203196,0.38094250782357203,0.39766809530940955,0.40703543088038213,0.3729743751753259,False,-1.0,False
